,index,Unnamed: 0,tweet
96,118,118,"17 missed calls!!!! ""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
97,119,119,"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao "
98,121,121,"These hoes be thinking Meat won't slap they ass "" ainna bruh"
99,122,122,"Yall bitches wit no edges be doing the most talking """
100,123,123,"Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
101,124,124,"I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
102,125,125,"If she kiss u with her eyes open watch that bitch!""lmfao"
103,126,126,"You a woulda coulda shoulda ass hoe """
104,127,127,Happy Bday Bitch Ass Nigga Thomas that bitch roll up!
105,128,128,"Frank Frank used to send that bitch up"""
106,129,129,"Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses"""
107,130,130,"Deborah nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
108,131,131,"Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in  outta jail  dumb bitches with mad kids fuckin em."""
109,133,133,"I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
110,134,134,"Being single isn't an excuse to be a hoe."" William "
111,135,135,"White boy power bitch"" black power bitch"
112,136,136,"Lets get drunk, get blowed, spit shit spark blunts  fuck hoes!"" Bro white dudes have no chill."
113,137,137,"Mark bitch where u been"" Around the world and back. Where you been?"
114,138,138,"Nancy if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by Nancy *"
115,139,139,"#oomf is soooo cute. But he probably has hoes on him a lot."""
116,142,142,"I wish I was a bitch like my brother keezy "" ooooow I bet you do"
117,143,143,"If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
118,144,144,"Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" Susan get on it Katie3"
119,145,145,"stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH"
120,146,146,"Carmen ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
121,147,147,"Sally Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
122,148,148,"You're not a man if you refer to every girl as a bitch"""
123,149,149,"Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
124,150,150,"Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
125,151,151,"Angela io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
126,152,152,"Evelyn naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
127,153,153,"Ol dirty foot ass bitches.."" this was too funny to me."
128,154,154,"Willow that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY"
129,155,155,"Don't got time for bitches to be actin iffy."""
130,157,157,"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
131,158,158,"dry pussy bitches always blame it on the condom"""
132,160,160,"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
133,161,161,"You love these hoes more then money wats wrong these niggas"""
134,162,162,"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
135,163,163,"Easy cum, easy hoe"" That's a fact !"
136,165,165,"Wish I had a bae ""

You got all the hoes tho"
137,166,166,"Fuck twerking bitch can you cook ?"""
138,168,168,"Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now"
139,169,169,"Lmao fucking snake bitches"" Francis "
140,170,170,"Big booty hoes everywhere sheesh "" damn "
141,171,171,"Oregon chokes every year get off the field trash ass program"" RFT"
142,172,172,"Terrell Owens was the best Eagle  Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
143,174,174,"Laura Laura How could u do this to me bitch"" potent"
144,178,178,"Guy nah fam I gotta cheat with the hoes"" depends on the female i feel"
145,179,179,"This new twitter is confusing the shit out of me."" Go back to south america bitch"
146,180,180,"Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
147,181,181,"but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!"
148,182,182,"bitch couldn't kill my vibe if ya tried. "" dis why i love miley :*"
149,183,183,"I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody."
150,184,184,"""Stay beautiful you bitch"""""
151,185,185,"#WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
152,186,186,"Money getting taller and bitches getting blurry"""
153,187,187,"I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine "
154,190,190,"People always asking me what I'm mixed with."" She a bad asian bitch lol"
155,191,191,"Melba Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
156,192,192,"Fosters home for imaginary trash WHOA CHILL""

that show was everything tf"
157,193,193,"I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
158,195,195,"We don't love these hoes """
159,196,196,"If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
160,197,197,"Yvette I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
161,198,198,"Quote this tweet with your favorite animal.""pussy"
162,199,199,"I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
163,200,200,"... Double pussy "" smh"
164,201,201,"""In ya , in ya damn """""
165,203,203,"61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
166,204,204,"These bitches don't care they just play that role."""
167,205,205,"It took a while for you to find me, but I was hiding In the lime tree.""
Denny dis bitch in da wrong tree bro."
168,207,207,"Tony inna di ghetto!!!"" You alone lmaoo"
169,208,208,"Carl Carl hoes Austin teach us Austin.""I teach u how to get curved? That's all I know"
170,209,209,"bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
171,210,210,"Fat hoes get chose"" lol"
172,211,211,"#hoesaintloyal"" well they're hoes,no one expects them to be loyal"
173,213,213,"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
174,214,214,"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
175,215,215,"*rolls on the floor, laughing*"
176,216,216,"""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
177,218,218,"If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
178,219,219,"These catfish hoes thinkin they slick.. But niggas catching on """
179,220,220,"Can't worry about a bitch that ain't worried bout me"" #real"
180,221,221,"Side hoes are for insecure niggas that can't handle a real one."""
181,222,222,"Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" "
182,223,223,"My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers """
183,224,224,"i'm hungry but ionn wanna spend my money on food""Broke hoe problems "
184,225,225,"Dese hoes be LYIN to all of us nigga"""
185,227,227,"Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
186,229,229,"Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
187,231,231,"I ain't sharing no bitch if you mines you mines """
188,232,232,"money only impress the simple broke bitches"""
189,233,233,"#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
190,234,234,"Roy Roy tuku ho idk blah blah blah"" "
191,235,235,"Rosa Rosa I'm not mad cuh hahaha"" suure.. tuku ho ita! "
192,236,236,"These hoes is crazy"""
193,237,237,"You ain't ever gonna be a slice bitch."" Kevin hart. (:"
194,238,238,"Oomf so fuckin fine tho  dam"" Randall don't be no bitch."
195,239,239,"I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
196,240,240,"#NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
Mary "
197,241,241,"Hickies in between her thighs right by her pussy "" Its only right"
198,242,242,"Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
199,243,243,"Heather Heather y'all come through the front.""bitch I ain't coming"
200,245,245,"Kenneth yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up Kenneth work 2-5"
201,249,249,"I love eating pussy lol I never get full lol I can eat that shit forever lol"" and ever."
202,250,250,"No slushes hoes nasty anyway fam""them hoes taste like meds"""
203,251,251,"No slushes hoes nasty anyway fam"""
204,252,252,"BOBBY BITCH-by Herbert be getting me live as fuck"" hell yea i play that hoe before my workout"
205,254,254,"I can ride your bitch with no handle bars"""
206,255,255,"And if you ain't a hoe get up out my traphoussseeeee"""
207,256,256,"These harbor bitches are all ""Party Bus hoes"""" Lol all?"
208,257,257,"Leo pussy"" love it"
209,261,261,"Its simple, dont be a hoe=dont worry about being exposed "" fight me""why ?"
210,263,263,"Benjamin bet not be no bitches! ""  Kim bye!!!"
211,264,264,"Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
212,265,265,"I'm making marack my girlfriend ."" Ryan aye b you pullin hoes just like o taught you"
213,266,266,"Bruno fag boy"" you love me."
214,267,267,"I must be a bitch you are  sike naw"" This why we always beefing "
215,268,268,Don't take advantage of a nice personBob everyjuan
216,269,269,Happy birthday bitch nigga Jose Thanks pal
217,270,270,"Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
218,271,271,"Michelle cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
219,272,272,"Karol ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"""
220,273,273,"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
221,274,274,"""Jennie My pussy still fresh"" ----- something stank girls say."
222,275,275,"Ass slapping is one the greatest things. Haha. "" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
223,276,276,"Anne Anne yeah Texans are so much better you fucking retard"" I see that you're mad about this."
224,277,277,"Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like blackmilds out here"
225,278,278,"There's a lane some bitches need to stay in "" the left n get right the fuck outta our face "
226,279,279,"I hate when boys deny that they have bitches "" smh"
227,280,280,"Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
228,281,281,"Im a boss ass bitch"" ...that needs to sit in a corner"
229,282,282,"He's a hoe , I can't"""
230,283,283,"Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ""oooh shit bitches betta stay out da streets"
231,284,284,"bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. """
232,285,285,"why do my friends hate me"" because you a ratchet hoe.."
233,286,286,"No love for these fuck niggas"" hoes*"
234,289,289,"These bitches love Sosa"""
235,290,290,"I legit watched it for about 30 or 40 seconds SO DID I WTF"" prob cause were retarded smh"
236,291,291,"What should I name my cat, ideas?"" Mr pussy"
237,293,293,"Cynthia u see the damn phone ringing? "" when you married bitches makes demands!!!! You haven't called me"
238,294,294,"Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
239,296,296,"Ima is bored supposed to be cute, you faggot?"" Sometimes"
240,297,297,"I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
241,298,298,"David lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
242,299,299,"god teeth , gold chain
white bitches , cocaine"""
243,300,300,"Its me hoe, its me hoe"" shhhhh"
244,301,301,"In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
245,302,302,"I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
246,303,303,"hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone "" ON. MY. SOUL!"
247,305,305,"Robert yall both gimped up??"" Ain't tht a bitch huh lol"
248,307,307,"oh my god I love Victoria Mitchell"" all my bitches love me"
249,308,308,"That long distance shit wack I knew the bitch was cheating""- uh oh"
250,310,310,"they BAN dat pussy for life  he gotta pay 2.5 millon dollar fine"""
251,311,311,"Roses are red and violets are blue and niggers are black, you know that's true."" Maryann "
252,312,312,"But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
253,313,313,Smiles *Dips cracker in soup*
254,314,314,"Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" "
255,315,315,"Karma is a bitch #Damn #GodProtectsHisAngels ""

*sips tea*"
256,317,317,"You can call me Fireman cause I turn the hoes on."""
257,318,318,"I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
258,319,319,"Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
259,320,320,"And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
260,323,323,"loud bitches annoy me"""
261,324,324,"Eventually every bitch turns into that hoe."" # Truuu"
262,325,325,"I swear if oomf try talking to me tomorrow.."" Gilda Gilda pussy"
263,326,326,"You bitches be pretending to be TF crazy.."" You ain't never lied..."
264,327,327,"Marylin k bye hoe"" um bye .."
265,328,328,"Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
266,329,329,"ima keep on giving these pussy ass niggas ah reason to hate !"""
267,331,331,"Side bitch Sunday "" "
268,333,333,"Fuck wit us and then we tweakin hoe"" shmurda!"
269,334,334,"I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
270,336,336,"Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
271,337,337,"I can turn yo bitch into a eaterrrrrrrrr"""
272,338,338,"I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
273,339,339,"Aye yall ima tryout for the bowling team frfr tryouts passed tho"" no theres two more retard"
274,341,341,"Only the dudes with hoes say they don't got hoes"" Gregory "
275,342,342,"I'm rea start smacking bitches period !"" Bluffin at its best"
276,343,343,"Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
277,344,344,"One of us is on drugs, and its me but you're still wrong  Michael hahahahahahah im a bitch sometimes (:"
278,345,345,"I'm feeling pretty fuckin ghetto"" Smh"
279,347,347,"All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
280,348,348,"Richard I'm about to cool faggot chill"" tf is cool nigga"
281,349,349,"Mary I'm so sure bitch"" frfr tf"
282,350,350,"Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
283,351,351,"Got a couple bitches saying they know me But Ima let the money talk for me "" AND I'M LIKE... #WWYD"
284,352,352,"Grudges are for weirdos""and bitches"
285,353,353,"I told Mariam to but cigarettes for her birthday""

You also called me trash rn"
286,354,354,"No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol"
287,356,356,"using y=mx+b to find the slope of that ass"""
288,360,360,"Next year bitches is gonna be like you gotta promise you won't expose me """
289,362,362,"Y'all think celebrity pussy different from the locals?  yeah Meghan goods is"""
290,364,364,"I don't ever expose females like that.. That's childish.."" bitch nigga shiiii....."
291,365,365,"Scott yasss""

*trys new things with bestfriend*""

*bitch who do you love*"
292,368,368,"Nothin in life is free.. Some of you bitches need to write that on ya panties"""
293,369,369,"Gerald if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha"
294,370,370,"Niggas whole hoes out here cuz"" Couldn't had said it better.."
295,371,371,"Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches"""
296,372,372,"#YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there"
297,376,376,"does he look like a bitch?"" Rosie "
298,377,377,"Chase money  not  hoes  """
299,378,378,"can't stand a ""I don't know what I want"" ass nigga "" bitch*"
300,380,380,"These newly gay bitches don't kno how shit works"""
301,381,381,"When a bitch don't want a real job they just become strippers lol"" lol."
302,382,382,"Awww Meat Meat In His Feelins""i ainn n my feelings bitch"
303,383,383,"I Want Snake Bites , MY Industrial Piercin  A Tattoo""Dem hoe accessories dea "
304,384,384,"these hoes ain't loyal."""
305,385,385,"YASSSSSS, ORDERED CHINESE "" bitch you just ate tacos you fat fuck"
306,386,386,I made that bitch lunch. Josette Bitches love lunch.
307,388,388,"""A pussy a day keeps the devil away"" -Bonnie "
308,389,389,"""Ain't that about a bitch""... What does that mean?"
309,390,390,"""All these bitches want a baby, I don't want no children."""
310,391,391,"""And bitch you must be lost"" "
311,392,392,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do"
312,393,393,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
313,394,394,"""Bleed out hoe!!!"" -Alexa"
314,395,395,"""Boolin' in the bando wit a few bitches"""
315,396,396,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday"
316,397,397,"""By the way we do punch bitches."""
317,400,400,"""Dad say hi to my snapchat"" 
Dad "" duces bitch"" "
318,401,401,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes"""
319,402,402,"""Don't know no ugly bitches! Don't know no broke niggas!""--Martha "
320,403,403,"""Don't make me make you fall in live with a nigga like meee..."" The birds 12 are my favorite songs by Weeknd"
321,404,404,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch."""
322,405,405,"""Don't you ever give my pussy away. You keep it tight, alright?"""
323,407,407,"""Dumb bitches do dumb things"""
324,408,408,"""Eat the pussy like a real nigga hungry"""
325,410,410,"""Everything look better with a bitch next to it"""
326,412,412,"""For every bad bitch there is a nigga tired of fucking her"""
327,413,413,"""Foreign chick, no lie.. Man that bitch Beautiful"""
328,415,415,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku"""
329,416,416,"""Get me that shit bitch you is fine bear"""
330,417,417,"""Get your ass back to Detroit ya fuckin' wigger!"""
331,418,418,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe"""
332,419,419,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please"
333,420,420,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?"""
334,421,421,"""He a bitch for hitting that hoe"" "
335,422,422,"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus"
336,423,423,"""He wanna be my nigga, but I'm just trinna be his savings account ""  omg imma funny ass bitch man, but that's Real Shit "
337,424,424,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone"
338,425,425,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
339,426,426,"""Hey pussy you still there?"""
340,427,427,"""How hotter than is it?"" ""A bitch."""
341,428,428,"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em"""
342,429,429,"""How you doing, crazy bitch?"" is hilarious!"
343,430,430,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!""

Like, negro... one of the first things they LOOK at is shoes, dog"
344,431,431,"""I call him my bitch"" Jeffrey "
345,432,432,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa"
346,433,433,"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista"
347,434,434,"""I don't love these hoes, baby It's me and you forever"""
348,435,435,"""I dont even need a picture of tamar, that bitch is beat in every picture"""
349,436,436,"""I dont have hoes"" "
350,437,437,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
351,438,438,"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her"""
352,439,439,"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi"""
353,440,440,"""I got a sister, she told me stop calling women bitches.."""
354,441,441,"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!"
355,442,442,"""I had a bitch that had a bitch, had the bitch eating halibut.."" - Gladys #FreshRhymes #JerkSquad #SlowStir"
356,443,443,"""I have this lady-love
She's married, but I still wanna bang her
She won't have sex with me
What a bitch"" ~A troubadour, probably"
357,444,444,"""I heard you was looking for Candy Man, bitch"""
358,445,445,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams Jerry "
359,446,446,"""I just got a number 3 I'm a bitch boy"""
360,447,447,"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?"""
361,448,448,"""I only be with older men cause they're more mature""

That supposed to fool us bitch?"
362,449,449,"""I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand."""
363,450,450,"""I said i don't like it, it tastes like wolf pussy"" 
""what? How do you even know what that tastes like"""
364,451,451,"""I taught myself how to eat pussy, and cut my own hair""
""I taught myself how to eat pussy hair""
Name the movie "
365,452,452,"""I used to dress up like a cop too.""
""Oh really?""
""Yeah...right after 9/11...mad pussy.""
""Really?""
""Yes...I'll NEVER FORGET."""
366,453,453,"""I went to jail for a flock,  came home wit a strike.. You went to jail as a bitch, came home as a dike""- Charles "
367,454,454,"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique  separate phrases I overheard a relative saying when I was younger."
368,455,455,"""I woke up like thi-"" bitch go back to bed"
369,456,456,"""I would rather you call me bitch than sir"" -my manager"
370,457,457,"""I'll beat on that pussy so hard"""
371,459,459,"""I'm a funky ass honkey."" - Kimberly 's shout out to Kimberly tonight before ""Cabaret""  #JT2020Tour"
372,460,460,"""I'm comparing KFC to the pussy"" Willie "
373,461,461,"""I'm downloading you a new personality and ordering you a new face! You bitch.. I love you.. Goddamn it!"" -Axl Rose yelling at his sex robot"
