,tweet
182,"bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
183,"I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
184,"""Stay beautiful you bitch"""""
185,"#WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
186,"Money getting taller and bitches getting blurry"""
187,"I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
188,"Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
189,"""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
190,"People always asking me what I'm mixed with."" She a bad asian bitch lol"
191,"@_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
192,"Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
193,"I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
194,"Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
195,"We don't love these hoes &#128080;&#128581;"""
196,"If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
197,"@d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
198,"Quote this tweet with your favorite animal.""pussy"
199,"I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
200,"... Double pussy &#128526;"" smh"
201,"""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
202,"@PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
203,"61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
204,"These bitches don't care they just play that role."""
205,"It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro."
206,"Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
207,"@DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
208,"@20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
209,"bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
210,"Fat hoes get chose"" lol"
211,"#hoesaintloyal"" well they're hoes,no one expects them to be loyal"
212,"@TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
213,"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
214,"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
215,"*rolls on the floor, laughing*"
216,"""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
217,"@ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
218,"If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
219,"These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
220,"Can't worry about a bitch that ain't worried bout me"" #real"
221,"Side hoes are for insecure niggas that can't handle a real one."""
222,"Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
223,"My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
224,"i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
225,"Dese hoes be LYIN to all of us nigga"""
226,"http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
227,"Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
228,"USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
229,"Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
230,"Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
231,"I ain't sharing no bitch if you mines you mines &#128175;"""
232,"money only impress the simple broke bitches"""
233,"#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
234,"@16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
235,"@KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
236,"These hoes is crazy"""
237,"You ain't ever gonna be a slice bitch."" Kevin hart. (:"
238,"Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
239,"I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
240,"#NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
241,"Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
242,"Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
243,"@JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
244,"@JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
245,"@Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
246,"http://t.co/BYj1HOyhmG"" this scally lad would get it"
247,"#GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
248,"Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
249,"I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."
250,"No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"
251,"No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;"
252,"BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout"
253,"My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
254,"I can ride your bitch with no handle bars"""
255,"And if you ain't a hoe get up out my traphoussseeeee"""
256,"These harbor bitches are all ""Party Bus hoes"""" Lol all?"
257,"@Woodchuck20 pussy"" love it"
258,"Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo"
259,"On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
260,"Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"
261,"Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
262,"whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
263,"@_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
264,"Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
265,"I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you"
266,"Bruno fag boy"" you love me."
267,"I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
268,"Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"
269,"Happy birthday bitch nigga @WexicanAfro702"" Thanks pal"
270,"Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
271,"@Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
272,"@h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
273,"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
274,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
275,"Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
276,"@WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this."
277,"Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
278,"There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
279,"I hate when boys deny that they have bitches &#128080;&#128553;"" smh"
280,"Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
281,"Im a boss ass bitch"" ...that needs to sit in a corner"
282,"He's a hoe , I can't"""
283,"Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
284,"bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""
285,"why do my friends hate me"" because you a ratchet hoe.."
286,"No love for these fuck niggas"" hoes*"
287,"Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
288,"Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah."
289,"These bitches love Sosa"""
290,"I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh"
291,"What should I name my cat, ideas?"" Mr pussy"
292,"http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally."
293,"@_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me"
294,"Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
295,"10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;"
296,"@ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes"
297,"I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
298,"@white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
299,"god teeth , gold chain
white bitches , cocaine"""
300,"Its me hoe, its me hoe&#128129;"" shhhhh"
301,"In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
302,"I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
303,"hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!"
304,"Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
305,"@TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol"
306,"Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
307,"oh my god I love Victoria Mitchell"" all my bitches love me"
308,"That long distance shit wack I knew the bitch was cheating""- uh oh"
309,"HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh"
310,"they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
311,"Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892"
312,"But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
313,Smiles *Dips cracker in soup*
314,"Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;"
315,"Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*"
316,"Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah"
317,"You can call me Fireman cause I turn the hoes on."""
318,"I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
319,"Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
320,"And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
321,"my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon"
322,"When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""
323,"loud bitches annoy me"""
324,"Eventually every bitch turns into that hoe."" # Truuu"
325,"I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy"
326,"You bitches be pretending to be TF crazy.."" You ain't never lied..."
327,"@white_thunduh k bye hoe"" um bye .."
328,"Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
329,"ima keep on giving these pussy ass niggas ah reason to hate !"""
330,"Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
331,"Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;"
332,"Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http://t.co/fDYojpT9Xg""

Lmao &#128553;&#128514;"
333,"Fuck wit us and then we tweakin hoe"" shmurda!"
334,"I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
335,"This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies"
336,"Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
337,"I can turn yo bitch into a eaterrrrrrrrr"""
338,"I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
339,"Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"
340,"Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend."
341,"Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12"
342,"I'm rea start smacking bitches period !"" Bluffin at its best"
343,"Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
344,"One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahahahahah im a bitch sometimes (:"
345,"I'm feeling pretty fuckin ghetto"" Smh"
346,"This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah"
347,"All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
348,"@white_thunduh I'm about to cool faggot chill"" tf is cool nigga"
349,"@white_thunduh I'm so sure bitch"" frfr tf"
350,"Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
